OBJECTID;ROUTE_NUM;ROUTE_NAME;ASSET_OWNER;CLASSIFICATION;INFRASTRUCT_TYPE;STATUS;PROGRAM;LAST_EDITED_DATE;SHAPE_Length
1033;55;Pier Street;City of Perth;Integrated Cycling Route;Integrated;Future works; ;20/02/2019;0.000792725094803379
1034;67;Claisebrook Cove;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Existing - to be retained;;20/02/2019;0.00870326721523211
1035;34;Palmerston Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.00179091194724757
1036;28;Roe Street;WA Government;Regional Route;Shared path;Current works;Cycle Plan - 2016/17;20/02/2019;0.00441681471865053
1037;25;Milligan Street;City of Perth;Integrated Cycling Route;Integrated;Future works;Cycle Plan - 2017/18;20/02/2019;0.00175888273123563
1038;12;RSP Network (Eastern Foreshore);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.0041344337300303
1039;23;Mount Street;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00301986799526564
1040;1;Loftus / Thomas Street;City of Perth;City Cycle Route;Shared path;Existing - to be upgraded; ;20/02/2019;0.00649138097515572
1041;12;RSP Network (Eastern Foreshore);WA Government;Regional Route;Shared path;Current works;N/A - Work by others;20/02/2019;0.00286141705384484
1042;77;Hampden Stirling Winthrop;City of Perth;City Cycle Route;Shared path;Future works;;20/02/2019;0.00716646035787028
1043;20;Colin Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2018/19;20/02/2019;0.00919857089772596
1044;2;PSP Network (Rail Line);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.0101134487850599
1045;16;Hackett Drive;City of Perth;City Cycle Route;To be determined;Future works;Cycle Plan - 2020/21;20/02/2019;0.00183328005298558
1046;17;Hay Street;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Future works;;20/02/2019;0.0034467519184408
1047;37;Mountain Terrace;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00111261295537518
1048;10;RSP Network (Hackett Drv;WA Government;Regional Route;Shared path;Existing - to be retained;;20/02/2019;0.00126447248456006
1049;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.00230423388961714
1050;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2018/19;20/02/2019;0.000561227153779972
1051;41;Loading...;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00120142357700982
1052;12;RSP Network (Eastern Foreshore);WA Government;Regional Route;Shared path;Temporary alignment; ;20/02/2019;0.00351863027971806
1053;4;PSP Network (Freeway);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.0148814524666682
1054;26;Harvest Terrace;City of Perth;Integrated Cycling Route;Two way dedicated cycleway;Existing - to be retained;;20/02/2019;0.00159366623452454
1055;52;Sherwood Crescent;City of Perth;Integrated Cycling Route;Integrated;Future works; ;20/02/2019;0.0015108957848536
1056;26;Harvest Terrace;City of Perth;Integrated Cycling Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00221232109810634
1057;65;East Parade;WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00299616545330448
1058;17;Hay Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.00501535297876853
1059;59;Trafalgar Bridge;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Future works;Cycle Plan - 2016/17;20/02/2019;0.00203667531551582
1060;28;Roe Street;City of Perth;City Cycle Route;Shared path;Current works;Cycle Plan - 2016/17;20/02/2019;0.00267338475570286
1061;48;Yagan Square / Queen Street;WA Government;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00279469785864313
1062;64;Fielder Street;City of Perth;Integrated Cycling Route;Integrated;Future works;Cycle Plan - 2017/18;20/02/2019;0.00201244156614664
1063;39;Francis St;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.0072548766276989
1064;4;PSP Network (Freeway);WA Government;Regional Route;Shared path;Existing - to be retained; ;20/02/2019;0.000214486279409002
1065;1;Loftus / Thomas Street;City of Perth;Regional Route;Shared path;Existing - to be upgraded;Cycle Plan - 2018/19;20/02/2019;0.00611384494764333
1066;2;Perth Arena Private Connection;Private;Regional Route;Shared path;Existing - to be retained;;20/02/2019;0.0018764461293013
1067;7;RSP Network (Mounts Bay Road);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00342192018296918
1068;1;Loftus / Thomas Street;To be determined;Regional Route;Shared path;Future works;Cycle Plan - 2019/20;20/02/2019;0.0289086026917151
1069;14;Murray Street;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Future works;;20/02/2019;0.00339426893545194
1070;17;Hay Street;City of Perth;Integrated Cycling Route;Integrated;Existing - to be retained; ;20/02/2019;0.00201226271238638
1071;72;The Avenue;City of Perth;City Cycle Route;Cycle lane;Future works;;20/02/2019;0.0030986155852431
1072;62;Bennett Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2020/21;20/02/2019;0.00952204337715864
1073;63;Kensington Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2017/18;20/02/2019;0.00709631279125426
1074;31;Barrack Street;City of Perth;City Cycle Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00102941759499331
1075;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2017/18;20/02/2019;0.000505564625677793
1076;12;RSP Network (Eastern Foreshore);WA Government;Regional Route;Shared path;Existing - to be retained; ;20/02/2019;0.00137532175286603
1077;2;PSP Network (Rail Line);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00217563750260789
1078;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.00256502000592908
1079;7;RSP Network (Mounts Bay Road);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.0344990724446327
1080;38;James Street;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Future works;;20/02/2019;0.00264024616250154
1081;4;PSP Network (Freeway);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00851692909488243
1082;1;Loftus / Thomas Street;City of Perth;Regional Route;Shared path;Future works;Cycle Plan - 2017/18;20/02/2019;0.00244092321639302
1083;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.00208483441359799
1084;42;William Street;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00462249490786395
1085;75;Hampden Rd;City of Perth;City Cycle Route;To be determined;Future works;;20/02/2019;0.00488613447164084
1086;42;William Street;WA Government;Pedestrian Priority Zone;Pedestrian priority zone;Future works;Cycle Plan - 2020/21;20/02/2019;0.00135092540660586
1087;14;Murray Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2017/18;20/02/2019;0.0118259710739486
1088;24;Mount Street Bridge;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Existing - to be retained; ;20/02/2019;0.00140318606708747
1089;14;Murray Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00213685317082324
1090;1;Loftus / Thomas Street;City of Perth;Regional Route;Shared path;Existing - to be upgraded;Cycle Plan - 2017/18;20/02/2019;0.00308468710521154
1091;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be retained; ;20/02/2019;0.000288033567584317
1092;25;Loading...;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00122073457507972
1093;73;Fairway;City of Perth;City Cycle Route;Cycle lane;Future works;;20/02/2019;0.00971393042767879
1094;14;Murray Street;City of Perth;City Cycle Route;Separated Contra Flow;Existing - to be removed;Cycle Plan - 2019/20;20/02/2019;0.0040122296818329
1095;30;The Esplanade;City of Perth;Integrated Cycling Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00344273927185293
1096;7;RSP Network (Mounts Bay Road);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00483287446679535
1097;101;Milligan Street;Private;Pedestrian Priority Zone;Pedestrian priority zone;Existing - to be retained;;20/02/2019;0.00119950851705485
1098;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.0024036518616073
1099;35;Shenton Street;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00213921458505409
1100;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2016/17;20/02/2019;0.00311035939787778
1101;7;RSP Network (Mounts Bay Road);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00589695041567458
1102;54;Duchess Way;City of Perth;Integrated Cycling Route;Integrated;Future works; ;20/02/2019;0.000827599465486469
1103;62;Bennett Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2020/21;20/02/2019;0.00950413309227266
1104;17;Hay Street;City of Perth;Integrated Cycling Route;Integrated;Future works;Cycle Plan - 2018/19;20/02/2019;0.00797984921591839
1105;17;Hay Street;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Future works; ;20/02/2019;0.00109589755369968
1106;6;PSP Network (Freeway);WA Government;Regional Route;Shared path;Existing - to be retained; ;20/02/2019;0.0103996094791261
1107;11;RSP Network (Causeway);WA Government;Regional Route;Shared path;Existing - to be upgraded; ;20/02/2019;0.00659148583260346
1108;8;RSP Network (Riverside Drive);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00874762309417522
1109;18;Wellington Street;City of Perth;Pedestrian Priority Zone;Pedestrian priority zone;Existing - to be retained; ;20/02/2019;0.00231509364102462
