2020_Rank;School_Name;Median_ATAR;No_eligible_Yr_12_students;No_Students_with_an_ATAR;Perc_students_with_an_ATAR;Location;Postcode;State;Socio_Economi_Status;State_Overall_Score;Better_Education_Percentile;English;Maths;Total_Students;Code
1;Perth Modern School;97.55;242;242;100;Subiaco;6008;WA;98;100;1%;5;5;1449;4042
2;St Hilda'S Anglican School For Girls;92.7;147;134;91.16;Mosman Park;6012;WA;96;99;4%;5;5;1129;1122
3;Christ Church Grammar School;92.5;190;175;92.11;Claremont;6010;WA;97;100;1%;5;5;1776;1041
4;Penrhos College;90.65;135;116;85.93;Como;6152;WA;96;98;6%;5;4;1048;1152
5;Methodist Ladies' College;90.55;126;112;88.89;Claremont;6010;WA;97;99;3%;5;5;1068;1042
6;Hale School;90.35;194;169;87.11;Wembley Downs;6019;WA;96;99;2%;5;5;1625;1193
7;St Mary'S Anglican Girls' School;90.3;153;128;83.66;Karrinyup;6018;WA;96;99;3%;5;5;1474;1157
8;John Xxiii College;89.5;168;132;78.57;Mount Claremont;6010;WA;96;99;4%;5;5;1578;1249
9;Perth College;89.4;129;116;89.92;Mount Lawley;6050;WA;95;98;5%;4;5;1020;1125
10;Santa Maria College;89.35;176;120;68.18;Attadale;6156;WA;95;95;12%;3;4;1350;1008
11;Presbyterian Ladies College;89.2;109;97;88.99;Peppermint Grove;6011;WA;95;96;5%;4;4;963;1147
12;Kennedy Baptist College;88.95;167;84;50.3;Murdoch;6150;WA;95;96;10%;4;4;1226;1396
13;Carmel School;88.85;33;32;96.97;Dianella;6059;WA;96;100;1%;5;5;419;1231
14;Shenton College;88.6;343;246;71.72;Shenton Park;6008;WA;96;99;2%;5;5;2800;4168
15;Mercedes College;88.55;139;101;72.66;Perth;6000;WA;95;95;12%;4;3;852;1149
16;Rossmoyne Senior High School;88.4;368;274;74.46;Rossmoyne;6148;WA;95;100;1%;5;5;2605;4048
17;Iona Presentation College;87.8;134;91;67.91;Mosman Park;6012;WA;95;96;11%;4;4;1322;1121
18;Willetton Senior High School;87.75;393;277;70.48;Willetton;6155;WA;95;100;2%;5;5;2710;4126
19;Sacred Heart College;87.6;229;147;64.19;Sorrento;6020;WA;95;95;12%;3;4;1479;1109
20;Mount Lawley Senior High School;86.45;234;152;64.96;Mount Lawley;6050;WA;93;97;8%;4;5;1969;4038
21;All Saints' College;86.35;146;120;82.19;Bull Creek;6149;WA;96;99;2%;5;5;1415;1277
22;Churchlands Senior High School;85.9;415;263;63.37;Churchlands;6018;WA;95;97;9%;4;4;2416;4012
23;Aquinas College;85.85;174;108;62.07;Salter Point;6152;WA;95;95;14%;2;4;1336;1107
24;Scotch College;85.35;175;130;74.29;Swanbourne;6010;WA;96;98;5%;4;5;1538;1171
25;John Curtin College Of The Arts;85.25;224;146;65.18;Fremantle;6160;WA;95;98;6%;4;5;1772;4025
25;Mazenod College;85.25;122;61;50;Lesmurdie;6076;WA;80;93;18%;2;3;849;1102
27;Our Lady Of Mercy College;85.2;54;25;46.3;Australind;6233;WA;81;94;11%;3;4;871;1526
28;Corpus Christi College;84.95;228;140;61.4;Bateman;6150;WA;95;95;13%;3;4;1823;1299
29;Bunbury Cathedral Grammar School;84.8;75;61;81.33;Gelorup;6230;WA;95;97;8%;3;5;662;1222
29;Chisholm Catholic College;84.8;234;126;53.85;Bedford;6052;WA;85;96;10%;4;4;1719;1085
31;St Stephen'S School;84.75;194;107;55.15;Duncraig;6023;WA;95;94;15%;3;3;2205;1309
32;Duncraig Senior High School;84.5;190;95;50;Duncraig;6023;WA;84;95;14%;3;4;1791;4129
32;Mandurah Catholic College;84.5;199;83;41.71;Mandurah;6210;WA;89;94;14%;3;4;1702;1380
34;Applecross Senior High School;84.3;234;145;61.97;Ardross;6153;WA;95;98;5%;5;5;1853;4002
35;Comet Bay College;84;245;52;21.22;Secret Harbour;6173;WA;81;93;18%;3;3;1754;4176
