Code;School_Name;Street;Suburb;State;Postcode;Postal_Street;Postal_Suburb;Postal_State;Postal_Postcode;Latitude;Longitude;Phone;Education_Region;Broad_Classification;Classification_Group;Low_Year;High_Year;KIN;PPR;Y01;Y02;Y03;Y04;Y05;Y06;UPR;Y07;Y08;Y09;Y10;Y11;Y12;USE;Total_Students
5001;ADAM ROAD PRIMARY SCHOOL;HOTCHIN STREET;SOUTH BUNBURY;WA;6230;HOTCHIN STREET;SOUTH BUNBURY;WA;6230;-33.357951;115.635371;08 9796 3000;SOUTH WEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;43;45;42;51;67;63;53;48;;;;;;;;;412
1463;AL-AMEEN COLLEGE;57 SOUTHGATE ROAD;LANGFORD;WA;6147;57 SOUTHGATE ROAD;LANGFORD;WA;6147;-32.04605574;115.9371583;08 9458 5206;SOUTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y12;77;77;80;88;91;93;95;89;;83;109;82;86;67;66;;1,183
1397;AL-HIDAYAH ISLAMIC SCHOOL;CNR HEDLEY ST/NYAMUP WAY;BENTLEY;WA;6102;CNR HEDLEY ST/NYAMUP WAY;BENTLEY;WA;6102;-32.01035814;115.9115641;08 9351 8593;SOUTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;PPR;Y06;;34;33;31;31;31;30;24;;;;;;;;;214
8001;ALBANY COMMUNITY KINDERGARTEN;136 SERPENTINE ROAD;ALBANY;WA;6330;PO BOX 5670;ALBANY;WA;6332;-35.02145966;117.88098687;08 9841 1864;SOUTH WEST;Community Kindergartens;COMMUNITY KINDERGARTENS;KIN;KIN;27;;;;;;;;;;;;;;;;27
5002;ALBANY PRIMARY SCHOOL;SUFFOLK STREET;ALBANY;WA;6330;SUFFOLK STREET;ALBANY;WA;6330;-35.01821151;117.8916106;08 9844 2860;SOUTH WEST;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;20;46;51;58;58;61;60;60;;;;;;;;;414
6151;ALBANY SECONDARY EDUCATION SUPPORT CENTRE;65 ANSON ROAD;ALBANY;WA;6330;65 ANSON ROAD;ALBANY;WA;6330;-34.99074882;117.8668674;08 9844 2550;SOUTH WEST;Education Support Centres;EDUCATION SUPPORT;Y07;Y12;;;;;;;;;;9;13;12;7;11;6;;58
4001;ALBANY SENIOR HIGH SCHOOL;1 CAMPBELL ROAD;ALBANY;WA;6330;1 CAMPBELL ROAD;ALBANY;WA;6330;-35.02044765;117.8917733;08 6821 1700;SOUTH WEST;Senior High Schools;SECONDARY SCHOOLS;Y07;Y12;;;;;;;;;;152;132;127;188;150;97;;846
5693;ALINJARRA PRIMARY SCHOOL;33 NORTHUMBERLAND AVENUE;ALEXANDER HEIGHTS;WA;6064;33 NORTHUMBERLAND AVENUE;ALEXANDER HEIGHTS;WA;6064;-31.82962571;115.87014015;08 9462 9950;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;41;46;44;34;47;39;29;42;;;;;;;;;322
1488;ALKIMOS BAPTIST COLLEGE;60 SEAGROVE BOULEVARD;MERRIWA;WA;6030;60 SEAGROVE BOULEVARD;MERRIWA;WA;6030;-31.66032819;115.71017847;08 9406 8189;NORTH METROPOLITAN;NON-GOVT SCHOOLS;NON-GOVERNMENT;KIN;Y12;15;20;20;19;17;22;29;32;;29;33;30;32;18;10;;326
5848;ALKIMOS BEACH PRIMARY SCHOOL;200 LEATHERBACK BOULEVARD;ALKIMOS;WA;6038;200 LEATHERBACK BOULEVARD;ALKIMOS;WA;6038;-31.625186;115.678659;08 9561 7200;NORTH METROPOLITAN;Primary Schools;PRIMARY SCHOOLS;KIN;Y06;59;70;61;81;64;67;57;63;;;;;;;;;522
